CODIGO|NUMERO|TIPO_LOGRADOURO|DESC_LOGRADOURO|BAIRRO|CIDADE|ESTADO
14879|14804322|AV|MANOEL NIETO LOPES |4DISTRITO INDUSTRIAL|ARARAQUARA|SP
14879|14807150|AV|PADRE JOSE ANCHIETA.|JARDIM HIGIENOPOLIS|ARARAQUARA|SP
14886|22775040|R|Vitor Civita|BARRA DA TIJUCA|RIO DE JANEIRO|RJ
14886|25802180|R|R DR. WALMIR PECANHA|CENTRO|RIO DE JANEIRO|RJ
14909|1310200|AV|PAULISTA|PARAISO|SAO PAULO|SP
14909|4567003|R|ARIZONA.|BROOKLIN NOVO|SAO PAULO|SP
14916|13279451|R|LAERTE PAIVA.|MACUCO|VALINHOS|SP
14916|1455000|R|HUNGRIA|JARDIM EUROPA|SAO PAULO|SP
14939|14015170|AV|NOVE DE JULHO.|HIGIENOPOLIS|RIBEIRAO PRETO|SP
14946|13211223|AV|JOAO ANTONIO MECCATTI.|JD CASA BRANCA|JUNDIAI|SP
14946|13219000|AV|ANTONIO FREDERICO OZANAN|VILA SANTANA II|JUNDIAI|SP
14953|15750000|R|ARMINDO PILHALARMI|CENTRO|SANTA ALBERTINA|SP
14969|3317080|R|PEDRO BELEGARDE|TATUAPE|SAO PAULO|SP
14976|2201002|AV|JULIO BUONO|VILA GUSTAVO|SAO PAULO|SP
14999|5073000|R|DOZE DE OUTUBRO|LAPA|SAO PAULO|SP
15029|4260000|AV|DR. RICARDO JAFET |JARDIM DA GLORIA|SAO PAULO|SP
15036|4361000|R|JORGE DUPRAT FIGUEIREDO|VILA PAULISTA|SAO PAULO|SP
15043|18400000|EST|LUIZ JOSE SQUARIO|CENTRO|ITAPEVA|SP
15059|3911010|AV|ENGENHEIRO PINTO MARTINS|VILA RICA|SAO PAULO|SP
15066|12010080|R|CONS MOREIRA DE BARROS.|CENTRO|TAUBATE|SP
15089|9981070|R|PROJETADA|JARDIM INAMAR|DIADEMA|SP
15096|9210330|R|ANTONINA.|VILA CAMILOPOLIS|SANTO ANDRE|SP
15119|4530001|R|DOUTOR RENATO PAES DE BARROS|ITAIM BIBI|SAO PAULO|SP
15119|4543121|R|EDUARDO DE SOUZA ARANHA,DR|VILA OLIMPIA|SAO PAULO|SP
15149|3827001|R|ESTACAO|JARDIM MATARAZZO|SAO PAULO|SP
15149|4707000|AV|ROQUE PETRONI JR,|JARDIM DAS ACACIAS|SAO PAULO|SP
15149|4707000|AV|ROQUE PETRONI JUNIOR.|MORUMBI|SAO PAULO|SP
15172|18280000|ROD|MARIO BATISTA MORI.|INVERNADINHA|TATUI|SP
15179|9370835|R|LUCIA MORMITO BIASON|SERTAOZINHO|MAUA|SP
15179|9380000|R|EVERALDO BRITO DA COSTA JUNIOR|SERTAOZINHO|MAUA|SP
15202|5061200|R|CERRO CORA|VILA ROMANA|SAO PAULO|SP
15202|5061400|R|CERRO CORA|VILA ROMANA|SAO PAULO|SP
15209|5024000|R|BARO DO BANANAL|LAPA|SAO PAULO|SP
15209|5043050|R|DOUTOR RAFAEL CORREIA|AGUA BRANCA|SAO PAULO|SP
15216|13080150|R|JOAQUIM NORBERTO|SANTA GENEBRA|CAMPINAS|SP
15216|13080291|R|FLAVIO TELLES|JARDIM SANTA GENEBRA|CAMPINAS|SP
15232|1310919|AV|PAULISTA.|BELA VISTA|SAO PAULO|SP
15232|2010300|R|VOLUNTARIOS DA PATRIA.|CARANDIRU|SAO PAULO|SP
15236|22631000|AV|AV DAS AMERICAS|BARRA DA TIJUCA|RIO DE JANEIRO|RJ
15236|22775040|R|Vitor Civita|BARRA DA TIJUCA|RIO DE JANEIRO|RJ
15239|1234001|AV|PACAEMBU|PACAEMBU|SAO PAULO|SP
15239|4090000|AL|DOS NHAMBIQUARAS|INDIANOPOLIS|SAO PAULO|SP
15246|17201480|R|SETE DE SETEMBRO.|CENTRO|JAU|SP
15262|9210580|AV|ESTADOS DOS|PARQUE CAPUAVA|SANTO ANDRE|SP
15262|9290340|AV|DOS ESTADOS|PARQUE JOAO RAMALHO|SANTO ANDRE|SP
15269|6711250|AV|João Paulo Ablas|JARDIM DA GLORIA|COTIA|SP
15269|6715125|R|ETIOPIA |RIO COTIA|COTIA|SP
15276|12606070|TV|DA USINA|CRUZ|LORENA|SP
15292|3317001|R|SERRA DE BOTUCATU|VILA GOMES CARDIM|SAO PAULO|SP
15292|3319120|R|JOAO NOBREGA COLANGELO|VILA GOMES CARDIM|SAO PAULO|SP
15299|13473620|AV|AFFONSO PANSAN.|SAO VITO|AMERICANA|SP
15322|7113001|AV|TIRADENTES.|JARDIM SAO PAULO|GUARULHOS|SP
15329|5405200|R|TEODORO SAMPAIO|PINHEIROS|SAO PAULO|SP
15329|7034911|ROD| PRES DUTRA|VILA ITAPEGICA|GUARULHOS|SP
15352|8710430|R|DR DEODATO WERTHEIMER. |CARMO|MOGI DAS CRUZES|SP
15352|8773090|R|DEODATO WERTHEIMER,DR |CENTRO|MOGI DAS CRUZES|SP
15352|8773090|R|DOUTOR DEODATO WERTHEIMER|VILA MOGILAR|MOGI DAS CRUZES|SP
15375|8710070|R|JOSE BONIFACIO.|CENTRO|MOGI DAS CRUZES|SP
